!MOLECULE
CCS
!MOLECULAR WEIGHT
56
!NUMBER OF ENERGY LEVELS
298
!LEVEL + ENERGIES[cm^-1] + WEIGHT + QNUM
    1      0.00000000      1.0      1 0        
    2      0.37090000      3.0      2 1        
    3      1.11620000      5.0      1 2        
    4      2.24200000      7.0      2 3        
    5      3.75568161      9.0      3 4        
    6      5.66465640     11.0      4 5        
    7      6.48370000      3.0      1 1        
    8      6.54494014      3.0      0 1        
    9      7.34799852      5.0      2 2        
   10      7.52820000      5.0      3 2        
   11      7.97566924     13.0      5 6        
   12      8.64443240      7.0      3 3        
   13      8.99524915      7.0      4 3        
   14     10.37303678      9.0      4 4        
   15     10.69440000     15.0      6 7        
   16     10.93871936      9.0      5 4        
   17     12.53380000     11.0      5 5        
   18     13.35120000     11.0      6 5        
   19     13.82550000     17.0      7 8        
   20     15.12660000     13.0      6 6        
   21     16.22589286     13.0      7 6        
   22     17.37287830     19.0      8 9        
   23     18.15157206     15.0      7 7        
   24     19.55707408     15.0      8 7        
   25     21.33946550     21.0      910        
   26     21.60864865     17.0      8 8        
   27     23.34005254     17.0      9 8        
   28     25.49785340     19.0      9 9        
   29     25.72760000     23.0     1011        
   30     27.57097467     19.0     10 9        
   31     29.81910000     21.0     1010        
   32     30.53908983     25.0     1112        
   33     32.24689767     21.0     1110        
   34     34.57244516     23.0     1111        
   35     35.77540000     27.0     1213        
   36     37.36543376     23.0     1211        
   37     39.75790000     25.0     1212        
   38     41.43776597     29.0     1314        
   39     42.92470000     25.0     1312        
   40     45.37530000     27.0     1313        
   41     47.52710000     31.0     1415        
   42     48.92317629     27.0     1413        
   43     51.42476995     29.0     1414        
   44     54.04410000     33.0     1516        
   45     55.35969763     29.0     1514        
   46     57.90627465     31.0     1515        
   47     60.98943504     35.0     1617        
   48     62.23324185     31.0     1615        
   49     64.81970000     33.0     1616        
   50     68.36360000     37.0     1718        
   51     69.54304422     33.0     1716        
   52     72.16512043     35.0     1717        
   53     76.16694701     39.0     1819        
   54     77.28847559     35.0     1817        
   55     79.94250000     37.0     1818        
   56     84.39980000     41.0     1920        
   57     85.46897403     37.0     1918        
   58     88.15177270     39.0     1919        
   59     93.06249141     43.0     2021        
   60     94.08406378     39.0     2019        
   61     96.79291798     41.0     2020        
   62    102.15522264     45.0     2122        
   63    103.13340000     41.0     2120        
   64    105.86594539     43.0     2121        
   65    111.67820000     47.0     2223        
   66    112.61664023     43.0     2221        
   67    115.37080000     45.0     2222        
   68    121.63150000     49.0     2324        
   69    122.53350000     45.0     2322        
   70    125.30744910     47.0     2323        
   71    132.01529701     51.0     2425        
   72    132.88374438     47.0     2423        
   73    135.67589337     49.0     2424        
   74    142.82968954     53.0     2526        
   75    143.66720000     49.0     2524        
   76    146.47600000     51.0     2525        
   77    154.07470000     55.0     2627        
   78    154.88353627     51.0     2625        
   79    157.70785259     53.0     2626        
   80    165.75050394     57.0     2728        
   81    166.53271682     53.0     2726        
   82    169.37136462     55.0     2727        
   83    177.85710000     59.0     2829        
   84    178.61458706     55.0     2827        
   85    181.46654406     57.0     2828        
   86    190.39452544     61.0     2930        
   87    191.12889572     57.0     2928        
   88    193.99324196     59.0     2929        
   89    203.36288414     63.0     3031        
   90    204.07562446     59.0     3029        
   91    206.95158059     61.0     3030        
   92    216.76200000     65.0     3132        
   93    217.45460667     61.0     3130        
   94    220.34138730     63.0     3131        
   95    230.59205059     67.0     3233        
   96    231.26577048     63.0     3231        
   97    234.16258947     65.0     3232        
   98    244.85300000     69.0     3334        
   99    245.50896118     65.0     3332        
  100    248.41527069     67.0     3333        
  101    259.54480000     71.0     3435        
  102    260.18407628     67.0     3433        
  103    263.09930000     69.0     3434        
  104    274.66751273     73.0     3536        
  105    275.29102686     69.0     3534        
  106    278.21465062     71.0     3535        
  107    290.22110000     75.0     3637        
  108    290.82979464     71.0     3635        
  109    293.76130000     73.0     3636        
  110    306.20552689     77.0     3738        
  111    306.80016888     73.0     3736        
  112    309.73917860     75.0     3737        
  113    322.62080000     79.0     3839        
  114    323.20218307     75.0     3837        
  115    326.14825608     77.0     3838        
  116    339.46684841     81.0     3940        
  117    340.03566535     77.0     3938        
  118    342.98844609     79.0     3939        
  119    356.74370000     83.0     4041        
  120    357.30060000     79.0     4039        
  121    360.25970000     81.0     4040        
  122    374.45120000     85.0     4142        
  123    374.99685530     81.0     4140        
  124    377.96196758     83.0     4141        
  125    392.58944005     87.0     4243        
  126    393.12436437     83.0     4241        
  127    396.09518305     85.0     4242        
  128    411.15839320     89.0     4344        
  129    411.68307797     85.0     4342        
  130    414.65930000     87.0     4343        
  131    430.15790000     91.0     4445        
  132    430.67285002     87.0     4443        
  133    433.65426864     89.0     4444        
  134    449.58790000     93.0     4546        
  135    450.09370000     89.0     4544        
  136    453.08004911     91.0     4545        
  137    469.44848027     95.0     4647        
  138    469.94545258     91.0     4645        
  139    472.93649350     93.0     4646        
  140    489.73950000     97.0     4748        
  141    490.22809756     93.0     4746        
  142    493.22360000     95.0     4747        
  143    510.46095250     99.0     4849        
  144    510.94149587     95.0     4847        
  145    513.94130338     97.0     4848        
  146    531.61280000    101.0     4950        
  147    532.08563949     97.0     4948        
  148    535.08958552     99.0     4949        
  149    553.19490000    103.0     5051        
  150    553.66040691     99.0     5049        
  151    556.66826975    101.0     5050        
  152    575.20720000    105.0     5152        
  153    575.66577843    101.0     5150        
  154    578.67734502    103.0     5151        
  155    597.64970858    107.0     5253        
  156    598.10156890    103.0     5251        
  157    601.11670000    105.0     5252        
  158    620.52240000    109.0     5354        
  159    620.96771866    105.0     5352        
  160    623.98633565    107.0     5353        
  161    643.82500000    111.0     5455        
  162    644.26428048    107.0     5453        
